date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:21	5339/5339	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://homeeat.herokuapp.com/js/jquery.countdown.min.js	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/js/jquery.countdown.min.js	(from http://homeeat.herokuapp.com/aboutUs)
17:10:21	20216/20216	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://homeeat.herokuapp.com/js/jquery.magnific-popup.min.js	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/js/jquery.magnific-popup.min.js	(from http://homeeat.herokuapp.com/aboutUs)
17:10:22	34172/34172	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://homeeat.herokuapp.com/js/bootstrap-datepicker.min.js	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/js/bootstrap-datepicker.min.js	(from http://homeeat.herokuapp.com/aboutUs)
17:10:23	14244/14244	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://homeeat.herokuapp.com/js/aos.js	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/js/aos.js	(from http://homeeat.herokuapp.com/aboutUs)
17:10:35	77160/77160	---M--	200	added ('OK')	application/font-woff2	etag:W/%2212d68-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.woff2	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:41	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.eot	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:43	98024/98024	---M--	200	added ('OK')	application/font-woff	etag:W/%2217ee8-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.woff	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:47	444379/444379	---M--	200	added ('OK')	image/svg+xml	etag:W/%226c7db-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.svg?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.svg	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:47	5932/5932	URF---	200	added ('OK%20(cached)')	application/x-javascript		http://homeeat.herokuapp.com/js/main.js	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/js/main.js	(from http://homeeat.herokuapp.com/aboutUs)
17:10:49	165742/165742	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfontd41d.eot?	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfontd41dd41d.eot	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:49	41451/41451	URF---	200	added ('OK%20(cached)')	image/jpeg		http://homeeat.herokuapp.com/assets/images/resource/resto-service1.jpg	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/resource/resto-service1.jpg	(from http://homeeat.herokuapp.com/ourServices)
17:10:49	1931/1931	URF---	200	added ('OK%20(cached)')	image/png		http://homeeat.herokuapp.com/assets/images/icon1.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/icon1.png	(from http://homeeat.herokuapp.com/ourServices)
17:10:51	29859/29859	URF---	200	added ('OK%20(cached)')	image/jpeg		http://homeeat.herokuapp.com/assets/images/resource/resto-service2.jpg	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/resource/resto-service2.jpg	(from http://homeeat.herokuapp.com/ourServices)
17:10:51	2762/2762	URF---	200	added ('OK%20(cached)')	image/png		http://homeeat.herokuapp.com/assets/images/icon2.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/icon2.png	(from http://homeeat.herokuapp.com/ourServices)
17:10:51	506/506	---M--	200	added ('OK')	text/html	etag:W/%221fa-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular.html	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular.html	(from http://homeeat.herokuapp.com/assets/css/bootstrap.min.css)
17:10:53	45317/45317	URF---	200	added ('OK%20(cached)')	image/jpeg		http://homeeat.herokuapp.com/assets/images/resource/resto-service3.jpg	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/resource/resto-service3.jpg	(from http://homeeat.herokuapp.com/ourServices)
17:10:53	1802/1802	URF---	200	added ('OK%20(cached)')	image/png		http://homeeat.herokuapp.com/assets/images/icon3.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/icon3.png	(from http://homeeat.herokuapp.com/ourServices)
17:10:53	506/506	---M--	200	added ('OK')	text/html	etag:W/%221fa-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regulard41d.html?	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regulard41dd41d.html	(from http://homeeat.herokuapp.com/assets/css/bootstrap.min.css)
17:10:55	2746/2746	URF---	200	added ('OK%20(cached)')	application/eot		http://homeeat.herokuapp.com/assets/fonts/Flaticond41d.eot?	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/Flaticond41dd41d.eot	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:55	1860/1860	URF---	200	added ('OK%20(cached)')	application/woff		http://homeeat.herokuapp.com/assets/fonts/Flaticon.woff	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/Flaticon.woff	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:55	508/508	---M--	200	added ('OK')	text/html	etag:W/%221fc-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-2.html	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-2.html	(from http://homeeat.herokuapp.com/assets/css/bootstrap.min.css)
